Job_offer,Label
"Randstad Technologies, divisione specializzata nella ricerca, selezione e formazione professionale IT di Randstad Italia, sta cercando per azienda operante nel settore dello sviluppo software per il settore sanitario, UN JAVA FULL STACK DEVELOPERParliamo di una realtà con circa dipendenti e filiali in tutto il mondoSi richiede.",Java Developer
Cercasi programmatore mid level per sviluppo siti web in wordpress.,Programmer
"Was Sie erwartet: Sie treiben neue Technologien voran und sind verantwortlich für die (Weiter-)Entwicklung und Integration von Softwaresystemen für die AutomobilbrancheZusammen mit dem Kunden und internen Ansprechpartner analysieren und erarbeiten Sie die Softwareanforderungen unter Berücksichtigung vorgegebener Standards, Tools und Prozesse Sind sind Ansprechpartner für die Softwareentwicklung bei fachlichen FragenIhre Hauptaufgabe liegt in der Programmierung von hardwarenaher Software in C, C++Sie sind verantwortlich für die Dokumentation von Software-Komponenten und deren SchnittstellenSie erarbeiten Testkonzepte aus und führen Softwaretests zur Qualitätssicherung durch Was Sie mitbringen: Sie verfügen über ein abgeschlossenes Studium im Bereich Elektrotechnik, Informatik oder vergleichbaren QualifikationenSie besitzen mehrjährige, einschlägige Berufserfahrung in der Softwareentwicklung, idealweiser im automobilen UmfeldSie haben sehr gute Kenntnisse in den Programmiersprachen C/C++ Sie
   kennen die Reifegradmodelle wie CMMI und SPICE und können diese sicher umsetzenBestenfalls besitzen Sie Kenntnisse der Bussysteme wie CAN, Ethernet etc.Aspekte der funktionalen Sicherheit nach ISO 26262 sind Ihnen vertrautSie kommunizieren sicher auf Deutsch und EnglischEin guter technischer Gesamtüberblick, eine gewissenhafte und strukturierte Arbeitsweise runden Ihr Profil ab",Programmer
SEA system cerca programmatore wordpress con esperienza siti vetrina ed ecommerce con Elementor e Woocommerce per progetto della durata di 6 mesi. E' richiesta disponibilità Part time Inviare la propria candidatura a : wbsadmin@sea-system.it,Programmer
"Eurointerim spa agenzia per il lavoro, filiale di Sansepolcro, ricerca per importante azienda specializzata nell'automazione industriale, una risorsa da inserire in organico di: SOFTWARISTA PROGRAMMATORE Job description: la figura si occuperà di programmazione delle macchine e sviluppo del software. Sarà dotato di autonomia, lavorerà in team confrontandosi con progettisti, tecnici e operativi. Il personale in ingresso sarà formato nell'uso dei programmi dedicati ed affiancato da personale qualificato. E' richiesta laurea triennale o magistrale in informatica o ingegneria dell'automazione. Il contratto iniziale a tempo determinato è finalizzato all'assunzione. Retribuzione da definire con la direzione aziendale. Lavoro a tempo pieno Luogo di lavoro: Valtiberina La ricerca si rivolge a candidati ambosessi (D.lgs. n.198/2006); applicandosi all'annuncio il Candidato conferma di aver letto e accettato l'informativa privacy presente al link",Programmer
"FILIALE : UFFICIO TORINO SPECIALIZZAZIONE : T&E INFORMATION TECHNOLOGY Per importante società leader nel suo settore di riferimento ricerchiamo: PHP Developer Requisiti: Capacità di lavorare in autonomia su task di media complessità Approccio strutturato alla programmazione ad oggetti (OO paradigms, Design Patterns) Buona conoscenza di PHP7 e Framework Symfony Conoscenza di sviluppo di web services REST Progettazione database relazionali e ottima conoscenza SQL Buona conoscenza di HTML/CSS/Javascript Conoscenza di architetture LAMP/LEMP e Linux Buona conoscenza della gestione dei repository (Git, SVN, etc.) Costituirà inoltre titolo preferenziale: Conoscenza di metodologie DevOps e del container Docker Conoscenza di Framework Javascript (es: Mv* tipo AngularJs, React, VueJS) Esperienza su Elastic Search 6.8 Esperienza nell'applicazione di metodologie agili, in particolare di SCRUM Conoscenza di una o più tecnologie NoSql Esperienza nell'uso di un qualsiasi altro framework PHP",Web Developer
"Vorremmo entrare in contatto con candidati laureati o diplomati in discipline tecnico informatiche da inserire in un team di sviluppo, nello specifico ricerchiamo un Back end Developer che abbia maturato almeno 3 anni di esperienza nello sviluppo e manutenzione di applicativi realizzati con linguaggi C#.",Programmer
"PROGRAMMATORE SOFTWARE PC

   La risorsa, inserita all'interno del Reparto SW, riporterà al Responsabile dell'Ufficio Automazione e si occuperà di:

   Eseguire le attività di sviluppo SW per applicazioni WMS (Warehouse Management System);
     * Raccolta ed analisi di nuove funzioni richieste o di modifiche all'esistente;
     * Definizione delle specifiche necessarie all'implementazione;
     * Sviluppo della soluzione software o coordinamento di altri tecnici al suo sviluppo;
     * Collaudo e test della soluzione elaborata;
     * Organizzazione della documentazione prodotta in fase di analisi e sviluppo software.",Programmer
"Il candidato selezionato verrà inserito in un team agile del cliente, focalizzato sullo sviluppo di un'app cross-platform, pensata per il settore Industria 4.0. Qui, in un ambiente stimolante e innovativo, collaborerà al mantenimento della parte già sviluppata, nonché alla creazione ed implementazione di nuove features.",Web Developer
"Business Changers sta cercando Java developer di talento che ci possano aiutare nella realizzazione di sistemi complessi e di elevata qualità. All'interno di questo ruolo sarai coinvolto nell'implementazione di nuove funzionalità applicative, progettazione e realizzazione workflow relativamente ad una serie di nuovi sfidanti progetti.

   Le tue responsabilità includeranno:

   Implementare nuovi moduli software in modo autonomo, ma all'interno di un team strutturato e numeroso.

   Contribuire alla progettazione ed ideazione di nuove architetture/prototipi.

   Collaborare efficacemente con il team di analisi funzionale e con il team di testing al fine di garantire la massima condivisione delle informazioni.

   Creare codice di qualità facilmente manutenibile.

   Seguire le best practice e standard di scrittura del codice attraverso tutto il processo di sviluppo del software, migliorando le best practice dove possibile.",Java Developer
"Beasy4BIZ sta cercando, per ampliamento del team di progetto uno Sviluppatore Back End a Milano che abbia maturato un'ottima esperienza nel ruolo., L'avvio dell'attività lavorativa sarà in smart working e proseguirà in questa modalità salvo differenti esigenze aziendali fino alla fine dell'emergenza sanitaria in corso.",Java Developer
"Siamo alla ricerca di uno SVILUPPATORE BACKEND JAVA, da inserire all'interno di una società che punta all'innovazione per i propri clienti e partner., * Sviluppo di soluzioni e applicazioni in un contesto Enterprise",Java Developer
Il candidato ideale è desideroso di mettersi alla prova e di far parte di una realtà d'eccellenza e in continua crescita.,Web Developer
"Job summary Parola chiave: digitalizzazione! Uno dei principali obiettivi di ECTM è rivoluzionare in chiave digitale il mondo dell'edilizia, andando a trasformare uno dei settori meno digitalizzati. Cerchiamo quindi un Programmatore proattivo, entusiasta e dinamico per progettare, sviluppare e gestire innovative architetture web articolate in microservizi. E non è finita qui. Se curiosità e passione per lo sviluppo tecnologico-digitale ti caratterizzano, in qualità di Programmatore potrai metterti alla prova nell'ideazione, nella creazione e nel lancio di soluzioni web innovative, dando vita a una visione inedita e non convenzionale di Rete al servizio dell'Edilizia e del settore ingegneristico. Lavorando in Agile supporterai la tua squadra nelle varie fasi di lavoro, raggiungendo con il team obiettivi a lungo termine. Sarai parte di ECTM e ne condividerai ambizioni e progressi sviluppando nuovi prodotti digitali. Cosa cerchiamo in te? Ecco le principali tecnologie che
   utilizzerai e i requisiti fondamentali per lavorare insieme a noi, senza mai smettere di creare, progettare, divertirti. Angular Laravel PHP Microservizi Mysql  Nice to have: docker, Redux, react.Credere nelle tue proposte e nelle tue scelte: ricorda che non lavorerai solo per ECTM ma insieme a ECTM. I progetti ai quali prenderai parte saranno anche frutto delle tue intuizioni. Capacità di proporre e trasmettere al tuo team di lavoro idee, opinioni e soluzioni. Propensione a costruire una visione strategica d'insieme delle varie mansioni che ti verranno assegnate. Capacità di comprendere e condividere con la tua squadra i feedback del responsabile senior e delle varie figure con le quali ti confronterai. È richiesta la presenza su Roma. Valuteremo la possibilità di remote working parziale più avanti, ora abbiamo bisogno di te qui!Team Il tuo team è attualmente composto da 5 programmatori coordinati da un Lead Developer. Ma non lavorerai solo con loro! I
   progetti ai quali prenderai parte infatti ti permetteranno di interfacciarti quotidianamente con Project Manager, Ingegneri, Architetti, Creativi, Graphic Designer e molti altri professionisti; una realtà multidisciplinare che ti consentirà di sviluppare nuove skill e preziose abilità trasversali. Cosa ti offriamo Azienda altamente tecnologica e quasi del tutto paperless; contratto a tempo indeterminato; 14 mensilità (CCNL studi professionali); pacchetto di Welfare Aziendale volto a fornire al nostro team servizi, agevolazioni e iniziative che migliorino sensibilmente la vita in azienda; buoni pasto giornalieri da 8 €; flessibilità oraria; formazione continua; organizzazione orizzontale e trasversale di ruoli e competenze; ufficio in zona centrale, ben collegato con metropolitana e autobus; RAL prevista: in base alla seniority, dai 25k ai 35k. Se quel che hai letto fin qui ti ha incuriosito; se passione, condivisione e lavoro di squadra sono per
   te, come per noi, valori fondamentali, inviaci subito la tua candidatura. Entrando a far parte del team di ECTM conoscerai una realtà inclusiva e sinergica, volta all'interazione, alla crescita e all'innovazione.",Web Developer
"Per ampliamento staff del reparto tecnico per la sede di Porto Potenza Picena ricerchiamo figura che ricopra il ruolo di tecnico programmatore. Competenze richieste: Ottima conoscenza di programmazione back-end e lato server: PHP, Ajax, Database MySql. Altresì richiesta conoscenza di programmazione lato front-end di: HTML5, CSS3, Javascript e jQuery. Sede a Porto Potenza Picena www.clion.it No freelance",Programmer
"* Sviluppa e integra soluzioni e servizi, in accordo con i Responsabili del progetto e seguito costantemente dagli stessi;
     * Risolve ticket di assistenza nel rispetto degli SLA contrattuali e garantendo sempre la qualità del lavoro svolto;
     * Predispone documentazione di dettaglio relativamente alle assistenze svolte e i progetti su cui viene coinvolto., Perché lavorerai in un ambiente giovane, dinamico e stimolante che ti consentirà di mettere a frutto le tue competenze e acquisirne di nuove. I progetti complessi ed innovativi che gestiamo ti daranno la possibilità di sviluppare il tuo potenziale e accedere a percorsi di crescita interna.",Programmer
"Cerchiamo, un addetto per nostro ufficio tecnico, per sviluppo e programmazione software PLC, applicato a sistemi di automazione macchine utensili.",Programmer
"Senior Java Developer

   Con questo ruolo verrai inserito all'interno di un team focalizzato su soluzioni Enterprise realizzate in tecnologie J2EE e Cloud.

   Le tue responsabilità saranno:

   - Disegno e Sviluppo di applicazioni

   - Tradurre i requisiti di Business in soluzioni tecniche avanzate

   - Assicurare la scrittura di codice di qualità

   - Proporre soluzioni innovative/migliorative

   - Mantenere e rifattorizzare soluzioni esistenti",Java Developer
La risorsa verrà inserita all'interno dell'ufficio software e si occuperà di sviluppare software per macchine per la stampa digitale su piastrelle.,Software Engineer
"La risorsa, insieme al team di lavoro, si occuperà nel dettaglio di seguire lo sviluppo e l'evoluzione di progetti in sinergia e costante interazione con i clienti, operando sul versante Front-End oltre che Back-End nello sviluppo di applicazioni.",Web Developer
Gestiamo progetti innovativi e strategici per i nostri clienti e diamo molta importanza alla crescita professionale in termini di formazione e percorsi di carriera.,Web Developer
"LAVORA NELLA SCUOLA CON UNA BUONA RETRIBUZIONE
     * Centro srlsi occupa di servizi di visibilità sul web rivolgendosi alle piccole e medie imprese su tutto il territorio nazionale.
       Per potenziamento organico si ricercano 3 operatori telefonici che si occuperanno della gestione e acquisizione dei nuovi clienti.
       Si offre: supporto costante al fine di garantire una corretta formazione - fisso orario e ottimi incentivi economici - possibilità di crescita professionale., La sede di lavoro è situata nei pressi della stazione centrale di Bari.
       Si precisa la sanificazione e la messa in atto del protocollo delle norme anti covid nei nostri uffici.",Programmer
"Was Sie erwartet: Sie treiben neue Technologien voran und sind verantwortlich für die (Weiter-)Entwicklung und Integration von Softwaresystemen für die AutomobilbrancheZusammen mit dem Kunden und internen Ansprechpartner analysieren und erarbeiten Sie die Softwareanforderungen unter Berücksichtigung vorgegebener Standards, Tools und Prozesse Sind sind Ansprechpartner für die Softwareentwicklung bei fachlichen FragenIhre Hauptaufgabe liegt in der Programmierung von hardwarenaher Software in C, C++Sie sind verantwortlich für die Dokumentation von Software-Komponenten und deren SchnittstellenSie erarbeiten Testkonzepte aus und führen Softwaretests zur Qualitätssicherung durch Was Sie mitbringen: Sie verfügen über ein abgeschlossenes Studium im Bereich Elektrotechnik, Informatik oder vergleichbaren QualifikationenSie besitzen mehrjährige, einschlägige Berufserfahrung in der Softwareentwicklung, idealweiser im automobilen UmfeldSie haben sehr gute Kenntnisse in den Programmiersprachen C/C++ Sie
   kennen die Reifegradmodelle wie CMMI und SPICE und können diese sicher umsetzenBestenfalls besitzen Sie Kenntnisse der Bussysteme wie CAN, Ethernet etc.Aspekte der funktionalen Sicherheit nach ISO 26262 sind Ihnen vertrautSie kommunizieren sicher auf Deutsch und EnglischEin guter technischer Gesamtüberblick, eine gewissenhafte und strukturierte Arbeitsweise runden Ihr Profil ab",Programmer
"Ricerchiamo per importante società di servizi informatici un sistemista. Vengono valutati sia profili neolaureati in informatica con passione per l'attività sistemistica da inserire inizialmente con tirocinio retribuito, che profili senior con conoscenza di sistemi Windows o Linux, o con competenze su reti e sicurezza informatica ai quali verrà offerto un contratto di lavoro come dipendente con livello di inquadramento e retribuzione commisurati all'esperienza maturata. Sede di lavoro Perugia",System Analyst
"Inseriremo nel team uno/una Sviluppatore/-trice esperto/a in applicazioni javascript, in particolare con back-end in Node.js + MongoDB, e front-end in Angular, Vue o React per implementare nuove funzionalità sul prodotto di punta. Cerchiamo una figura con passione per il proprio lavoro, autonoma e completa ma predisposta a lavorare in team., * Sviluppo front-end su Angular, Vue o React: 1 anno (Obbligatorio)
     * Sviluppo back-end su node.js: 1 anno (Obbligatorio)",Java Developer
"Adecco specializzazione Digital&Technologies ricerca per importante azienda cliente nel settore informatico, la figura di un: Sviluppatore Full Stack. Requisiti: -Diploma o Laurea in materie scientifiche -Conoscenza del mondo Java, back end e front end -HTML/JAVASCRIPT + LIbreria jQuery, HTML, CSS -Forte competenza su React -Framework: Spring boot, security, JPA, Hibernate -Database SQL/T-SQL Sede di lavoro: Roma Nord con possibilità di lavorare in Smart Working. Assunzione a tempo indeterminato retribuzione commisurata all'effettiva esperienza del candidato più bonus e benefit aziendali I candidati ambosessi (L.903/77) sono invitati a leggere l'informativa sulla privacy [https://www.adecco.it/privacy-policy/informativa-sulla-privacy-dei-dati-dei-candidati] Facsimile di domanda disponibile al seguente link Facsimile domanda candidatura http://bit.ly/3bWPyn5 ATTENZIONE: Abbiamo rilevato la presenza in rete di molti annunci falsi; prendi visione dei nostri consigli per riconoscere i
   tentativi di truffa al seguente link [https://www.adecco.it/phishing] Adecco Italia S.p.A. (Aut. Min. Prot. N.1100-SG del 26.11.2004).",Web Developer
"In questo momento siamo alla ricerca per l'ampliamento dell'area sviluppo di un nostro importante cliente su Milano. Requisiti Richiesti: Java 1.8+ Spring framework Knowledge databases (Oracle) Start Up: ASAP Sede di lavoro: Roma/ Smart Working Si offre: Tipologia contratto, livello e retribuzione in base all'esperienza nel ruolo Business Competence nasce nel 2007 per offrire alle aziende soluzioni e servizi innovativi in ambito ICT & Business Strategy, dalla Security al Project Management. Adotta, sin dal primo giorno, un modello di sviluppo dal respiro internazionale basato non solo sulla solidità delle competenze tecnologiche, progettuali e gestionali, puntando sulla fiducia nei giovani talenti e sulla flessibilità nel lavoro verso gli obiettivi. In Business Competence raggiungere un successo significa pensare subito a un nuovo progetto innovativo, reinvestendo sempre gli utili per rigenerare continuamente know-how interno e sviluppo di prodotti originali",Java Developer
"Con il fine di potenziare l'organico, siamo alla ricerca di un Software Architect che si occupi di guidare lo sviluppo di una piattaforma di Sales Performance e Intelligence.
   Nello specifico la figura collaborerà con un team internazionale per seguire il design e l'implementazione di uno dei principali prodotti proprietari.
   La risorsa si occuperà inoltre del Refactoring del codice per la trasformazione a servizi, portando la soluzione in SaaS.",Web Developer
"COOPERJOB SPA Agenzia per il lavoro, ricerca, per azienda di Pordenone che opera nel settore dell'Information and Communication Technology specializzata in sviluppo software, integrazione di sistemi, Enterprise Asset Management, Internet of Things e tecnologie smart planet, un/una programmatore/trice informatico/a normalmente in sede presso l'ufficio di Pordenone e/o in smart working, soprattutto in questo periodo.
   La risorsa lavorerà in un team dedicato allo sviluppo del prodotto, a fianco non solo degli altri sviluppatori e del product manager, ma anche del CDA.
   La risorsa parteciperà attivamente nell'identificazione di nuove funzionalità del prodotto, nella scelta di tecnologie, pattern e metodi implementativi, per crescere insieme all'azienda e per far crescere il prodotto.",Programmer
"La risorsa farà parte della BU IT/Digital e avrà l'opportunità di lavorare in un contesto innovativo, presso Primario Cliente, occupandosi di attività progettuali relative al disegno di soluzioni nell'ambito del monitoraggio e gestione di flussi informativi real-time attinenti a rilevazioni energetico ambientali di: edifici, apparecchiature meccaniche ed elettriche, sistemi di produzione energia, allarmistica, ventilazione, riscaldamento e raffrescamento e, più in generale, controllo sensoristica e apparati di monitoraggio e gestione.

   Attività e Responsabilità del ruolo:
     * Disegno e realizzazione di soluzioni architetturali ed applicative
     * Trattamento dei flussi dati real time;
     * Creazione e gestione di dashboard di monitoraggio e allarmistica;
     * Analisi dati per la definizione di KPI e metriche per valutare l'operatività degli impianti;
     * Implementazione di algoritmi statistici per l'individuazione di risultati futuri basandosi sui dati storici (analisi predittive)",Software Engineer
Cerchiamo programmatore web per integrazioni software esistente.,Programmer
"Il ruolo, alle dipendenze di un direttore tecnico, avrà la responsabilità della programmazione software dei progetti che gli verranno affidati., programmazione software;

   - partecipazione alla definizione dell'architettura della soluzione tecnica più funzionale alle esigenze del cliente;

   - attività di training, testing e assistenza con i clienti;

   - produzione della documentazione di progetto.",Programmer
"La risorsa si dovrà occupare di gestire ambienti AWS, fungendo da interfaccia di assistenza tecnica per il cliente al fine di comprendere le esigenze di change sulla piattaforma e sulle applicazioni, oltre ad essere un punto di riferimento in caso di incidenti., E' necessario che l'esperienza su AWS sia comprovata da progetti svolti in contesti di aziende medio grandi.

   La conoscenza dell'inglese è fondamentale, sia scritto sia parlato, in quanto la figura interagirà con il nostro team di Budapest.

   E' richiesta la reperibilità da condividere con altri membri del team.",System Analyst
